source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
WQP,USGS-314717106404401,29S.03E.18.122 S-2,,,31.788,-106.679,WGS84,4102.0,ft,600.0,ft,nitrate,mg/L,2,2.76,2.76,2.76,2010-11-03,,2.76,mg/L
WQP,USGS-314731107513001,29S.10W.15.111,,,31.792046,-107.858917,WGS84,4180.0,ft,440.0,ft,nitrate,mg/L,2,6.5,6.64,6.57,1955-05-19,,6.5,mg/L
WQP,USGS-314746106353601,29S.03E.12.341,,,31.796218,-106.593878,WGS84,3753.0,ft,400.0,ft,nitrate,mg/L,2,1.08,1.08,1.08,2010-11-15,,1.08,mg/L
WQP,USGS-314748108052601,29S.12W.08.322,,,31.796767,-108.091146,WGS84,4422.0,ft,,ft,nitrate,mg/L,2,20.81,21.0,20.9,1958-05-13,,21.0,mg/L
WQP,USGS-314750108370501,29S.17W.07.313A,,,31.796484,-108.618104,WGS84,4495.0,ft,218.0,ft,nitrate,mg/L,2,3.7,3.72,3.71,1956-06-07,,3.7,mg/L
WQP,USGS-314755107242401,29S.06W.12.41114,,,31.798713,-107.40724,WGS84,3975.0,ft,,ft,nitrate,mg/L,2,4.4,4.43,4.41,1981-04-11,,4.4,mg/L
WQP,USGS-314802107364501,29S.08W.12.14444,,,31.800657,-107.613078,WGS84,4000.0,ft,150.0,ft,nitrate,mg/L,2,1.68,1.7,1.69,1950-01-15,,1.7,mg/L
WQP,USGS-314811107544301,29S.11W.12.22433,,,31.803156,-107.912529,WGS84,4270.0,ft,,ft,nitrate,mg/L,2,7.53,7.6,7.56,1958-05-21,,7.6,mg/L
WQP,USGS-314815107381201,29S.08W.11.11313,,,31.804268,-107.637245,WGS84,4008.0,ft,,ft,nitrate,mg/L,2,1.68,1.7,1.69,1950-01-15,,1.7,mg/L
WQP,USGS-314817106325801,MBOWN-209 - 29S.04E.08.224A (ISC-4A/ISC-4S),,,31.804664,-106.549944,WGS84,3734.0,ft,75.0,ft,nitrate,mg/L,1,2.21,2.21,2.21,2007-02-13,,2.2135,mg/L
WQP,USGS-314817106325802,MBOWN-210 - 29S.04E.08.224B (ISC-4B/ISC-4D),,,31.804664,-106.549944,WGS84,3734.0,ft,165.5,ft,nitrate,mg/L,1,2.21,2.21,2.21,2007-02-13,,2.2135,mg/L
WQP,USGS-314820107493001,29S.10W.11.222,,,31.805656,-107.825583,WGS84,4272.0,ft,510.0,ft,nitrate,mg/L,2,6.9,7.08,6.99,1955-05-20,,6.9,mg/L
WQP,USGS-314908106371201,29S.03E.03.223 EXPL,,,31.819,-106.62,WGS84,4002.0,ft,573.0,ft,nitrate,mg/L,2,0.56,0.56,0.56,2010-11-02,,0.562,mg/L
WQP,USGS-314935107381901,28S.08W.34.424,,,31.826306,-107.638556,WGS84,4055.0,ft,605.0,ft,nitrate,mg/L,2,9.65,9.66,9.66,2014-05-13,,9.66,mg/L
WQP,USGS-314940108344101,28S.17W.33.244,,,31.828428,-108.576992,WGS84,4287.0,ft,,ft,nitrate,mg/L,2,1.5,1.51,1.5,1956-06-07,,1.5,mg/L
WQP,USGS-314947107371001,28S.08W.36.133,,,31.829822,-107.620023,WGS84,4011.0,ft,608.0,ft,nitrate,mg/L,2,2.9,2.92,2.91,1968-07-17,,2.9,mg/L
WQP,USGS-315013106362601,MBOWN-198 - 28S.03E.26.344A (ISC-5A/ISC-5S),,,31.83705,-106.607768,WGS84,3747.0,ft,168.0,ft,nitrate,mg/L,1,0.44,0.44,0.44,2007-02-13,,0.4427,mg/L
WQP,USGS-315013106395301,MBOWN-202 - 28S.03E.29.344 (ST-31),,,31.83705,-106.665269,WGS84,4065.0,ft,550.0,ft,nitrate,mg/L,2,5.09,5.11,5.1,2010-11-04,,5.11,mg/L
