source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
WQP,USGS-354019106453001,17N.02E.29.311,,,35.671971,-106.758925,WGS84,,ft,,ft,arsenic,mg/L,1,0.07,0.07,0.07,8/21/1973,,0.067,mg/L
WQP,USGS-354022105584701,17N.09E.27.31413,,,35.672809,-105.9803,WGS84,6760,ft,809,ft,arsenic,mg/L,1,0,0,0,9/15/2020,,0.0045,mg/L
WQP,USGS-354028106010801,17N.09E.30.422,,,35.674475,-106.019467,WGS84,,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,6/25/1985,,0.009,mg/L
WQP,USGS-354038108091801,17N.12W.30.142 NO.3,,,35.677244,-108.155623,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,7/14/1981,,0,mg/L
WQP,USGS-354041105581301,17N.09E.27.232,,,35.678086,-105.970855,WGS84,6810,ft,740,ft,arsenic,mg/L,1,0,0,0,9/15/2020,,0.0015,mg/L
WQP,USGS-354059105591501,17N.09E.21.4432,,,35.683086,-105.988078,WGS84,6864,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,7/24/1986,,0.008,mg/L
WQP,USGS-354103108083901,17N.12W.20.3313,,,35.684188,-108.144789,WGS84,6941,ft,2500,ft,arsenic,mg/L,1,0,0,0,7/14/1981,,0.001,mg/L
WQP,USGS-354105108091001,17N.12W.19.4314,,,35.684743,-108.153401,WGS84,6956,ft,2345,ft,arsenic,mg/L,1,0,0,0,7/15/1981,,0.001,mg/L
WQP,USGS-354113106441001,17N.02E.21.144 DUP,,,35.686971,-106.736702,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,10/26/1973,,0.004,mg/L
WQP,USGS-354113106441401,17N.02E.21.144,,,35.686971,-106.737814,WGS84,,ft,,ft,arsenic,mg/L,1,0.07,0.07,0.07,10/5/1973,,0.068,mg/L
