OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
99,99,"(441681.1624999996, 3708217.4099000003)",UCretaceous_ContactPts_112,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
100,100,"(442135.3912000004, 3707421.1447)",UCretaceous_ContactPts_113,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
101,101,"(441784.10780000035, 3708484.0820000004)",UCretaceous_ContactPts_118,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
102,102,"(437297.9480999997, 3701164.942399999)",UCretaceous_ContactPts_119,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
103,103,"(438947.70830000006, 3701691.8669000007)",UCretaceous_ContactPts_120,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
104,104,"(439859.79810000025, 3703490.5551999994)",UCretaceous_ContactPts_121,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
105,105,"(440076.2001, 3703315.1290000007)",UCretaceous_ContactPts_122,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
106,106,"(440425.6629999997, 3703785.0735)",UCretaceous_ContactPts_123,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
107,107,"(440599.7790999999, 3703928.4662999995)",UCretaceous_ContactPts_124,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
108,108,"(440614.1524, 3702486.9875000007)",UCretaceous_ContactPts_126,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
109,109,"(439942.41559999995, 3703870.1142999995)",UCretaceous_ContactPts_128,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
110,110,"(441542.32830000017, 3704602.8879000004)",UCretaceous_ContactPts_130,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
111,111,"(435834.65610000025, 3701641.4266999997)",UCretaceous_ContactPts_132,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
112,112,"(437161.7006999999, 3701215.4988)",UCretaceous_ContactPts_133,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
113,113,"(437245.0873999996, 3699289.9217000008)",UCretaceous_ContactPts_134,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
114,114,"(437845.32629999984, 3700963.318)",UCretaceous_ContactPts_136,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
115,115,"(437718.5329999998, 3694704.948999999)",UCretaceous_ContactPts_137,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
116,116,"(436948.5996000003, 3695448.6169000007)",UCretaceous_ContactPts_138,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
117,117,"(437647.58380000014, 3689948.435799999)",UCretaceous_ContactPts_140,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
118,118,"(438362.19969999976, 3690623.9634000007)",UCretaceous_ContactPts_141,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
119,119,"(438707.9940999998, 3691738.6601)",UCretaceous_ContactPts_143,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
120,120,"(430294.3492999999, 3690147.978)",UCretaceous_ContactPts_148,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
121,121,"(433077.7182, 3690053.3533999994)",UCretaceous_ContactPts_149,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
122,122,"(434765.7383000003, 3693049.727499999)",UCretaceous_ContactPts_150,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
123,123,"(422885.48450000025, 3687468.1433000006)",UCretaceous_ContactPts_152,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
124,124,"(426312.7416000003, 3687350.9397)",UCretaceous_ContactPts_153,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
125,125,"(427614.6007000003, 3687572.9662999995)",UCretaceous_ContactPts_154,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
126,126,"(427394.28639999963, 3685597.846999999)",UCretaceous_ContactPts_155,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
127,127,"(442018.31120000035, 3719524.0764000006)",CapitanCSD-50,442018.31120000035,3719524.0764000006,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5745.0,UCretaceous
128,128,"(443045.1782999998, 3719076.9255)",CapitanCSD-1170,443045.1782999998,3719076.9255,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,6739.0,UCretaceous
129,129,"(435376.0911999997, 3719554.0998)",NogalCSD-5000,435376.0911999997,3719554.0998,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4839.0,UCretaceous
130,130,"(441667.4199999999, 3719544.503799999)",NogalCSD-11291,441667.4199999999,3719544.503799999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5554.0,UCretaceous
131,131,"(438376.08770000003, 3719549.524)",NogalCSD-8000,438376.08770000003,3719549.524,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5748.0,UCretaceous
132,132,"(436810.6213999996, 3719551.911800001)",NogalCSD-6435,436810.6213999996,3719551.911800001,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5725.0,UCretaceous
133,133,"(433968.2059000004, 3719556.247199999)",NogalCSD-3592,433968.2059000004,3719556.247199999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4327.0,UCretaceous
134,134,"(432649.9693999998, 3719558.2578999996)",NogalCSD-2274,432649.9693999998,3719558.2578999996,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4016.0,UCretaceous
135,135,"(439876.0859000003, 3719547.2360999994)",NogalCSD-9500,439876.0859000003,3719547.2360999994,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5069.0,UCretaceous
136,136,"(442414.76719999965, 3716539.3609999996)",CapitanCSC-500,442414.76719999965,3716539.3609999996,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4469.0,UCretaceous
137,137,"(445422.82660000026, 3715244.2919999994)",CapitanCSC-3775,445422.82660000026,3715244.2919999994,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5541.0,UCretaceous
138,138,"(443884.3535000002, 3715906.6555000003)",CapitanCSC-2100,443884.3535000002,3715906.6555000003,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5056.0,UCretaceous
139,139,"(446098.2742999997, 3717747.450099999)",CapitanCSD-4500,446098.2742999997,3717747.450099999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5840.0,UCretaceous
140,140,"(449368.70419999957, 3716323.3363000005)",CapitanCSD-8067,449368.70419999957,3716323.3363000005,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,6496.0,UCretaceous
141,141,"(450747.07380000036, 3715723.1230999995)",CapitanCSD-9570,450747.07380000036,3715723.1230999995,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,,UCretaceous
142,142,"(437855.6936999997, 3716741.0603)",NogalCSC-7500,437855.6936999997,3716741.0603,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4980.0,UCretaceous
143,143,"(434978.9927000003, 3716743.8521)",NogalCSC-4623,434978.9927000003,3716743.8521,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4656.0,UCretaceous
144,144,"(430405.69710000046, 3716748.2905)",NogalCSC-50,430405.69710000046,3716748.2905,meters,NAD83,Rawling2014_OFR538,,UCretaceous,,UCretaceous
145,145,"(440605.69240000006, 3716738.3915)",NogalCSC-10250,440605.69240000006,3716738.3915,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4544.0,UCretaceous
146,146,"(441905.69180000015, 3716737.129899999)",NogalCSC-11580,441905.69180000015,3716737.129899999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4649.0,UCretaceous
147,147,"(432355.6963999998, 3716746.398)",NogalCSC-2000,432355.6963999998,3716746.398,meters,NAD83,Rawling2014_OFR538,,UCretaceous,,UCretaceous
148,148,"(439105.69319999963, 3716739.8472000007)",NogalCSC-8750,439105.69319999963,3716739.8472000007,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4738.0,UCretaceous
149,149,"(436355.6945000002, 3716742.5161000006)",NogalCSC-6000,436355.6945000002,3716742.5161000006,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4665.0,UCretaceous
150,150,"(439855.6928000003, 3716739.1194)",NogalCSC-9500,439855.6928000003,3716739.1194,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4685.0,UCretaceous
151,151,"(442904.5365000004, 3712794.151900001)",CapitanCSB-1045,442904.5365000004,3712794.151900001,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,4370.0,UCretaceous
152,152,"(445933.7396, 3711484.9811000004)",CapitanCSB-4357,445933.7396,3711484.9811000004,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5423.0,UCretaceous
153,153,"(446655.4146999996, 3711173.0853000004)",CapitanCSB-5143,446655.4146999996,3711173.0853000004,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,5558.0,UCretaceous
