OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
259,259,"(658733.0177999996, 3735345.0922)",30-041-20366,,,,,SalineSE,No known issues,Abo,-2647.0,Yeso
260,260,"(668289.9501999998, 3738764.5040000007)",30-041-20388,,,,,SalineSE,No known issues,Abo,-2624.0,Yeso
261,261,"(648883.4157999996, 3724720.7114000004)",30-041-00268,,,,,SalineSE,No known issues,Abo,-3177.0,Yeso
262,262,"(663074.6394999996, 3696855.1242999993)",30-025-03655,,,,,SalineSE,No known issues,Abo,-3748.0,Yeso
263,263,"(671757.8322999999, 3682318.205499999)",30-025-05046,,,,,SalineSE,No known issues,Abo,-3919.0,Yeso
264,264,"(635037.1607999997, 3731717.669399999)",30-041-00145,,,,,SalineSE,No known issues,Abo,-2520.0,Yeso
265,265,"(580728.7553000003, 3699639.308599999)",30-005-00350,,,,,SalineSE,No known issues,Abo,-1259.0,Yeso
266,266,"(662155.8295, 3703260.5645000003)",30-025-03639,,,,,SalineSE,No known issues,Abo,-3690.0,Yeso
267,267,"(650886.8112000003, 3731208.3002000004)",30-041-20845,,,,,SalineSE,No known issues,Abo,-2608.0,Yeso
268,268,"(647774.3887, 3721083.4323999994)",30-041-00141,,,,,SalineSE,No known issues,Abo,-3245.0,Yeso
269,269,"(670207.6369000003, 3721876.7150999997)",30-041-00219,,,,,SalineSE,No known issues,Abo,-3568.0,Yeso
270,270,"(639457.5712000001, 3735447.7184999995)",30-041-10572,,,,,SalineSE,No known issues,Abo,-2304.0,Yeso
271,271,"(574830.9742999999, 3683369.8313999996)",30-005-00334,,,,,SalineSE,No known issues,Abo,-1266.0,Yeso
272,272,"(580230.1063999999, 3705266.6076999996)",30-005-00345,,,,,SalineSE,No known issues,Abo,-1262.0,Yeso
273,273,"(590266.8130999999, 3723859.4001)",30-005-00407,,,,,SalineSE,No known issues,Abo,-1345.0,Yeso
274,274,"(586440.7001999998, 3685070.658500001)",30-005-00421,,,,,SalineSE,No known issues,Abo,-1715.0,Yeso
275,275,"(678072.8627000004, 3688129.7853999995)",30-025-07129,,,,,SalineSE,No known issues,Abo,-3947.0,Yeso
276,276,"(613487.5716000004, 3682495.1692999993)",30-005-20916,,,,,SalineSE,No known issues,Abo,-2869.0,Yeso
277,277,"(645196.1654000003, 3685510.0397999994)",30-025-34991-0001,,,,,SalineSE,No known issues,Abo,-3727.0,Yeso
278,278,"(642381.0323000001, 3687075.3307000007)",30-025-01829,,,,,SalineSE,No known issues,Abo,-3623.0,Yeso
279,279,"(641344.7548000002, 3694791.0884000007)",30-025-20545,,,,,SalineSE,No known issues,Abo,-3596.0,Yeso
280,280,"(571962.9221999999, 3688621.2183999997)",30-005-00320,,,,,SalineSE,No known issues,Abo,-1102.0,Yeso
281,281,"(560230.9545999998, 3686000.0600000005)",30-005-60226,,,,,SalineSE,No known issues,Abo,-497.0,Yeso
282,282,"(621938.4687999999, 3683571.176000001)",30-025-00115,,,,,SalineSE,No known issues,Abo,-2856.0,Yeso
283,283,"(677528.8653999995, 3695709.3684)",30-025-07098,,,,,SalineSE,No known issues,Abo,-3869.0,Yeso
284,284,"(678943.4302000003, 3684856.8211000003)",30-025-07176,,,,,SalineSE,No known issues,Abo,-4001.0,Yeso
285,285,"(616679.0761000002, 3686735.6449999996)",30-025-21243,,,,,SalineSE,No known issues,Abo,-2842.0,Yeso
286,286,"(670847.6689999998, 3687548.6753000002)",30-025-23331,,,,,SalineSE,No known issues,Abo,-4006.0,Yeso
287,287,"(667142.1312999995, 3706278.2621999998)",30-025-26463,,,,,SalineSE,No known issues,Abo,-3745.0,Yeso
288,288,"(676045.5, 3694376.721000001)",30-025-30400,,,,,SalineSE,No known issues,Abo,-3860.0,Yeso
289,289,"(626328.8055999996, 3687247.909499999)",30-025-01006,,,,,SalineSE,No known issues,Abo,-3018.0,Yeso
290,290,"(522587.2341, 3711776.1593999993)",30-005-62946,,,,,SalineSE,No known issues,Abo,1691.0,Yeso
291,291,"(653151.7111, 3689247.755000001)",30-025-02674,,,,,SalineSE,No known issues,Abo,-3888.0,Yeso
292,292,"(658799.5574000003, 3689361.8288000003)",30-025-03660,,,,,SalineSE,No known issues,Abo,-3884.0,Yeso
293,293,"(619015.8402000004, 3693198.9580000006)",30-025-00051,,,,,SalineSE,No known issues,Abo,-2778.0,Yeso
294,294,"(563392.5283000004, 3702731.8254000004)",30-005-60689-0001,,,,,SalineSE,No known issues,Abo,-607.0,Yeso
295,295,"(564136.3689000001, 3714804.193)",30-005-63252,,,,,SalineSE,No known issues,Abo,-601.0,Yeso
296,296,"(610577.9321999997, 3690398.7926000003)",30-005-00537,,,,,SalineSE,No known issues,Abo,-2728.0,Yeso
297,297,"(602650.7340000002, 3684385.9486999996)",30-005-21052,,,,,SalineSE,No known issues,Abo,-2478.0,Yeso
298,298,"(581937.5835999995, 3712504.7047000006)",30-005-61226,,,,,SalineSE,No known issues,Abo,-1332.0,Yeso
299,299,"(572988.4857000001, 3725292.0999999996)",30-005-60310,,,,,SalineSE,No known issues,Abo,-664.0,Yeso
300,300,"(598761.5318, 3724700.5976)",30-005-00403,,,,,SalineSE,No known issues,Abo,-1790.0,Yeso
301,301,"(610983.1640999997, 3727355.033500001)",30-005-21071,,,,,SalineSE,No known issues,Abo,-2090.0,Yeso
