OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
261,261,"(648883.4157999996, 3724720.7114000004)",30-041-00268,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",-997.0,SanAndres
262,262,"(663074.6394999996, 3696855.1242999993)",30-025-03655,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",-1779.0,SanAndres
263,263,"(671757.8322999999, 3682318.205499999)",30-025-05046,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",-2070.0,SanAndres
264,264,"(635037.1607999997, 3731717.669399999)",30-041-00145,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",-278.0,SanAndres
265,265,"(580728.7553000003, 3699639.308599999)",30-005-00350,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",910.0,SanAndres
266,266,"(662155.8295, 3703260.5645000003)",30-025-03639,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",-1746.0,SanAndres
267,267,"(650886.8112000003, 3731208.3002000004)",30-041-20845,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",-654.0,SanAndres
268,268,"(647774.3887, 3721083.4323999994)",30-041-00141,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",-1093.0,SanAndres
269,269,"(670207.6369000003, 3721876.7150999997)",30-041-00219,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",-1540.0,SanAndres
270,270,"(639457.5712000001, 3735447.7184999995)",30-041-10572,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",-192.0,SanAndres
