OID@,OBJECTID,SHAPE,UniqueID,DataSourceID,DataQualityBottom,UnitsPresent,SimpleUnit,MUEBase
194,194,"(570777.4781999998, 3645226.8954000007)",30-015-00561,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3591
195,195,"(667544.5003000004, 3625298.3696999997)",30-025-05449,SalineSE,No known issues,"San Andres,Glorieta",Artesia,882
196,196,"(547596.8598999996, 3618870.107999999)",30-015-20076,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4394
197,197,"(638651.9451000001, 3664268.5233999994)",30-025-34333,SalineSE,No known issues,San Andres,Artesia,1392
198,198,"(669745.8717999998, 3660506.4657000005)",30-025-05157,SalineSE,No known issues,"San Andres,Glorieta",Artesia,881
199,199,"(669889.6856000004, 3657383.341600001)",30-025-05258,SalineSE,No known issues,"San Andres,Glorieta",Artesia,949
200,200,"(640291.0407999996, 3644737.614499999)",30-025-25673,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1210
201,201,"(633068.2647000002, 3644825.7962999996)",30-025-25830,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1514
202,202,"(625077.5911999997, 3639072.3432)",30-025-34368-0001,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1601
203,203,"(564496.9413999999, 3669076.6456000004)",30-005-60355,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3931
204,204,"(534140.0248999996, 3644176.5705999993)",30-015-22888,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4834
205,205,"(617958.1497, 3649607.3135)",30-025-00351,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1928
206,206,"(651049.1162999999, 3671086.187000001)",30-025-02685,SalineSE,No known issues,San Andres,Artesia,1142
207,207,"(646827.6464999998, 3639895.4772999994)",30-025-02800,SalineSE,No known issues,"San Andres,Glorieta",Artesia,926
208,208,"(679433.2501999997, 3660274.7876999993)",30-025-21797,SalineSE,No known issues,"San Andres,Glorieta",Artesia,778
209,209,"(674988.1722999997, 3643931.6756999996)",30-025-22923,SalineSE,No known issues,San Andres,Artesia,684
210,210,"(645151.2255999995, 3662931.0013999995)",30-025-23108,SalineSE,No known issues,San Andres,Artesia,1191
211,211,"(661725.5533999996, 3657971.0963000003)",30-025-24286,SalineSE,No known issues,"San Andres,Glorieta",Artesia,832
212,212,"(654598.0987999998, 3636910.8728)",30-025-24656,SalineSE,No known issues,"San Andres,Glorieta",Artesia,909
